,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Easy Street Capital DSCR STANDARD SERIES Rate Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Easy Street Capital Signature Series (1-4 Unit DSCR) - Cash-Out Refi
"Note: See ""Standard Series Portfolios Loans"" tab for Rate Sheet for cross-collateralized Portfolio Loans and ""Standard Series (MF&MU)"" tab for Rate Sheet for loans secured by Multifamily (5-10 Units) and Mixed Use properties",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Base Rates,Premium,,DSCR / Max LTV Master Matrices,,,,,,,,,,Adjustments: FICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.875,95.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.000,96.020,,DSCR >=1.25x,,,,,,,,,,FICO/LTV,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.125,96.738,,FICO/Loan Size,,,Loan Purpose/LTV Max,,,,,,,780+,1.500,1.375,1.250,0.875,0.250,-0.250,-1.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.250,97.425,,FICO,,Loan Size,Acquisition,,Rate-Term Refinance,,Cash-Out Refinance,,,760-779,1.500,1.375,1.250,0.875,0.250,-0.250,-1.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.375,98.113,,"780+
760-779
740-759
720-739
700-719",,"$100,001 - $125,000",70.0%,,65.0%,,65.0%,,,740-759,1.500,1.375,1.125,0.750,0.000,-0.500,-1.750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.500,98.800,,,,"$125,001 - $150,000",70.0%,,65.0%,,65.0%,,,720-739,1.250,1.125,0.875,0.500,-0.250,-0.750,-2.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.625,99.425,,,,"$150,001 - $250,000",80.0%,,75.0%,,75.0%,,,700-719,0.875,0.750,0.375,-0.125,-1.000,-1.750,-4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.750,100.050,,,,"$250,001 - $400,000",80.0%,,75.0%,,75.0%,,,680-699,0.500,0.125,-0.125,-1.000,-2.500,-3.750,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.875,100.675,,,,"$400,001 - $500,000",80.0%,,75.0%,,75.0%,,,660-679,0.000,-0.375,-0.875,-1.625,-3.000,-5.500,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.000,101.300,,,,"$500,001 - $750,000",80.0%,,75.0%,,75.0%,,,640-659,-3.000,-3.500,-4.000,-4.500,-5.000,-6.000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.125,101.925,,,,"$750,001 - $1,000,000",80.0%,,75.0%,,75.0%,,,620-639,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.250,102.550,,,,"$1,000,001 - $1,500,000",80.0%,,75.0%,,75.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.375,103.082,,,,"$1,500,001 - $2,000,000",75.0%,,70.0%,,70.0%,,,Adjustments: DSCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.500,103.519,,,,"$2,000,001 - $2,500,000",70.0%,,65.0%,,65.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.625,103.957,,,,"$2,500,001 - $3,000,000",70.0%,,65.0%,,65.0%,,,DSCR/LTV,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.750,104.394,,,,"$3,000,001 - $3,500,000",70.0%,,65.0%,,NA,,,<0.75x,-1.750,-2.000,-2.000,-2.750,-3.000,-4.375,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.875,104.769,,FICO,,Loan Size,Acquisition,,Rate-Term Refinance,,Cash-Out Refinance,,,0.75x - 0.99x,-0.500,-0.625,-0.750,-1.000,-1.500,-2.375,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.000,105.144,,"680-699
660-679",,"$100,001 - $125,000",70.0%,,65.0%,,65.0%,,,1.00x - 1.14x,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.125,105.519,,,,"$125,001 - $150,000",70.0%,,65.0%,,65.0%,,,1.15x - 1.24x,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.250,105.894,,,,"$150,001 - $250,000",75.0%,,75.0%,,70.0%,,,>=1.25x,0.500,0.500,0.500,0.625,0.625,0.625,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.375,106.269,,,,"$250,001 - $400,000",75.0%,,75.0%,,70.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.500,106.582,,,,"$400,001 - $500,000",75.0%,,75.0%,,70.0%,,,Adjustments: Loan Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.625,106.894,,,,"$500,001 - $750,000",75.0%,,75.0%,,70.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.750,107.207,,,,"$750,001 - $1,000,000",75.0%,,75.0%,,70.0%,,,Loan Balance/LTV,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.875,107.457,,,,"$1,000,001 - $1,500,000",75.0%,,70.0%,,70.0%,,,"$75,000 - $100,000",NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.000,107.707,,,,"$1,500,001 - $2,000,000",70.0%,,65.0%,,65.0%,,,"$100,001 - $125,000",-2.250,-2.250,-2.375,-2.375,-2.375,-3.250,-3.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.125,107.957,,,,"$2,000,001 - $2,500,000",70.0%,,65.0%,,65.0%,,,"$125,001 - $150,000",-2.000,-2.000,-2.125,-2.125,-2.125,-3.000,-3.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.250,108.207,,,,"$2,500,001 - $3,000,000",65.0%,,NA,,NA,,,"$150,001 - $250,000",-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
