Standard Key,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80
"$75,000 - $100,000",NA,NA,NA,NA,NA,NA,NA
"$100,001 - $125,000",-2.250,-2.250,-2.375,-2.375,-2.375,-3.250,-3.500
"$125,001 - $150,000",-2.000,-2.000,-2.125,-2.125,-2.125,-3.000,-3.250
"$150,001 - $250,000",-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.500
"$250,001 - $400,000",0.000,0.000,0.000,0.000,0.000,0.000,0.000
"$400,001 - $500,000",0.000,0.000,0.000,0.000,0.000,0.000,0.000
"$500,001 - $750,000",0.000,0.000,0.000,0.000,0.000,0.000,0.000
"$750,001 - $1,000,000",0.000,0.000,0.000,0.000,0.000,0.000,0.000
"$1,000,001 - $1,500,000",0.000,0.000,0.000,0.000,0.000,0.000,-0.500
"$1,500,001 - $2,000,000",0.000,0.000,-0.125,-0.125,-0.250,-0.500,NA
"$2,000,001 - $2,500,000",-0.375,-0.375,-0.500,-0.750,-1.000,NA,NA
"$2,500,001 - $3,000,000",-0.750,-0.750,-0.750,-1.125,-1.250,NA,NA
"$3,000,001 - $3,500,000",-1.500,-1.500,-1.500,-1.500,-2.000,NA,NA
