Standard Key,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80
"5%(60),O(300)",0.875,0.875,0.875,0.875,1.000,1.000,1.000
"5%(48),O(312)",0.625,0.625,0.625,0.625,0.625,0.625,0.625
"5%(36),O(324)",0.250,0.250,0.250,0.250,0.250,0.250,0.250
"5%(24),O(336)",-0.375,-0.375,-0.375,-0.375,-0.500,-0.500,-0.500
"5%(12),O(348)",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"5%(12),4%(12),3%(12),2%(12),1%(12),O(300)",0.750,0.750,0.750,0.750,0.875,0.875,0.875
"4%(12),3%(12),2%(12),1%(12),O(312)",-0.500,-0.500,-0.500,-0.500,-0.625,-0.625,-0.625
"3%(12),2%(12),1%(12),O(324)",-0.500,-0.500,-0.500,-0.500,-0.625,-0.625,-0.625
"2%(12),1%(12),O(336)",-1.250,-1.250,-1.500,-1.500,-1.500,-1.500,-1.500
"1%(12),O(348)",N/A,N/A,N/A,N/A,N/A,N/A,N/A
O(360),-1.250,-1.250,-1.500,-1.500,-1.500,-1.500,-1.500
